x,y,UTC_DAY,LOCAL_DATE,CLIMATE_IDENTIFIER,LOCAL_MONTH,HUMIDEX,VISIBILITY,HUMIDEX_FLAG,WIND_DIRECTION_FLAG,WINDCHILL_FLAG,WIND_SPEED,PRECIP_AMOUNT,WIND_SPEED_FLAG,PRECIP_AMOUNT_FLAG,DEW_POINT_TEMP,PROVINCE_CODE,RELATIVE_HUMIDITY_FLAG,WIND_DIRECTION,WEATHER_ENG_DESC,LOCAL_DAY,LOCAL_YEAR,ID,DEW_POINT_TEMP_FLAG,RELATIVE_HUMIDITY,UTC_YEAR,WINDCHILL,STATION_PRESSURE_FLAG,TEMP,WEATHER_FRE_DESC,LOCAL_HOUR,STATION_PRESSURE,STATION_NAME,UTC_MONTH,VISIBILITY_FLAG,TEMP_FLAG,UTC_DATE
-76.59944444444444,44.223333333333336,6,2022-05-05 20:00:00,6104142,5,,,,,,9,0,,,3.1,ON,,26,NA,5,2022,6104142.2022.5.5.20,,67,2022,,,9.0,ND,20,100.71,KINGSTON CLIMATE,5,,,2022-05-06T01:00:00
-76.59944444444444,44.223333333333336,6,2022-05-05 21:00:00,6104142,5,,,,,,5,0,,,3.3,ON,,32,NA,5,2022,6104142.2022.5.5.21,,69,2022,,,8.5,ND,21,100.74,KINGSTON CLIMATE,5,,,2022-05-06T02:00:00
-76.59944444444444,44.223333333333336,6,2022-05-05 22:00:00,6104142,5,,,,,,7,0,,,2.3,ON,,32,NA,5,2022,6104142.2022.5.5.22,,63,2022,,,8.9,ND,22,100.7,KINGSTON CLIMATE,5,,,2022-05-06T03:00:00
-76.59944444444444,44.223333333333336,6,2022-05-05 23:00:00,6104142,5,,,,,,9,0,,,3.0,ON,,34,NA,5,2022,6104142.2022.5.5.23,,72,2022,,,7.6,ND,23,100.61,KINGSTON CLIMATE,5,,,2022-05-06T04:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 00:00:00,6104142,5,,,,,,2,0,,,2.7,ON,,1,NA,6,2022,6104142.2022.5.6.0,,70,2022,,,7.9,ND,0,100.58,KINGSTON CLIMATE,5,,,2022-05-06T05:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 01:00:00,6104142,5,,,,,,5,0,,,2.6,ON,,16,NA,6,2022,6104142.2022.5.6.1,,72,2022,,,7.3,ND,1,100.55,KINGSTON CLIMATE,5,,,2022-05-06T06:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 02:00:00,6104142,5,,,,,,3,0,,,1.8,ON,,35,NA,6,2022,6104142.2022.5.6.2,,78,2022,,,5.4,ND,2,100.51,KINGSTON CLIMATE,5,,,2022-05-06T07:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 03:00:00,6104142,5,,,,,,14,0,,,3.2,ON,,6,NA,6,2022,6104142.2022.5.6.3,,82,2022,,,6.1,ND,3,100.52,KINGSTON CLIMATE,5,,,2022-05-06T08:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 04:00:00,6104142,5,,,,,,6,0,,,3.3,ON,,4,NA,6,2022,6104142.2022.5.6.4,,79,2022,,,6.6,ND,4,100.5,KINGSTON CLIMATE,5,,,2022-05-06T09:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 05:00:00,6104142,5,,,,,,10,0,,,3.6,ON,,3,NA,6,2022,6104142.2022.5.6.5,,82,2022,,,6.6,ND,5,100.5,KINGSTON CLIMATE,5,,,2022-05-06T10:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 06:00:00,6104142,5,,,,,,12,0,,,4.2,ON,,4,NA,6,2022,6104142.2022.5.6.6,,78,2022,,,7.8,ND,6,100.55,KINGSTON CLIMATE,5,,,2022-05-06T11:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 07:00:00,6104142,5,,,,,,16,0,,,3.0,ON,,5,NA,6,2022,6104142.2022.5.6.7,,63,2022,,,9.7,ND,7,100.57,KINGSTON CLIMATE,5,,,2022-05-06T12:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 08:00:00,6104142,5,,,,,,26,0,,,0.8,ON,,5,NA,6,2022,6104142.2022.5.6.8,,48,2022,,,11.5,ND,8,100.52,KINGSTON CLIMATE,5,,,2022-05-06T13:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 09:00:00,6104142,5,,,,,,29,0,,,-0.2,ON,,6,NA,6,2022,6104142.2022.5.6.9,,40,2022,,,13.2,ND,9,100.51,KINGSTON CLIMATE,5,,,2022-05-06T14:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 10:00:00,6104142,5,,,,,,28,0,,,1.3,ON,,6,NA,6,2022,6104142.2022.5.6.10,,42,2022,,,14.2,ND,10,100.48,KINGSTON CLIMATE,5,,,2022-05-06T15:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 11:00:00,6104142,5,,,,,,21,0,,,0.8,ON,,4,NA,6,2022,6104142.2022.5.6.11,,38,2022,,,15.0,ND,11,100.48,KINGSTON CLIMATE,5,,,2022-05-06T16:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 12:00:00,6104142,5,,,,,,22,0,,,1.1,ON,,4,NA,6,2022,6104142.2022.5.6.12,,37,2022,,,15.5,ND,12,100.4,KINGSTON CLIMATE,5,,,2022-05-06T17:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 13:00:00,6104142,5,,,,,,19,0,,,1.2,ON,,5,NA,6,2022,6104142.2022.5.6.13,,37,2022,,,15.9,ND,13,100.33,KINGSTON CLIMATE,5,,,2022-05-06T18:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 14:00:00,6104142,5,,,,,,22,0,,,1.2,ON,,5,NA,6,2022,6104142.2022.5.6.14,,36,2022,,,16.4,ND,14,100.27,KINGSTON CLIMATE,5,,,2022-05-06T19:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 15:00:00,6104142,5,,,,,,19,0,,,1.3,ON,,3,NA,6,2022,6104142.2022.5.6.15,,36,2022,,,16.4,ND,15,100.2,KINGSTON CLIMATE,5,,,2022-05-06T20:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 16:00:00,6104142,5,,,,,,22,0,,,1.2,ON,,3,NA,6,2022,6104142.2022.5.6.16,,37,2022,,,16.0,ND,16,100.13,KINGSTON CLIMATE,5,,,2022-05-06T21:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 17:00:00,6104142,5,,,,,,22,0,,,1.6,ON,,5,NA,6,2022,6104142.2022.5.6.17,,39,2022,,,15.4,ND,17,100.1,KINGSTON CLIMATE,5,,,2022-05-06T22:00:00
-76.59944444444444,44.223333333333336,6,2022-05-06 18:00:00,6104142,5,,,,,,22,0,,,-0.2,ON,,6,NA,6,2022,6104142.2022.5.6.18,,36,2022,,,14.9,ND,18,100.08,KINGSTON CLIMATE,5,,,2022-05-06T23:00:00
-76.59944444444444,44.223333333333336,7,2022-05-06 19:00:00,6104142,5,,,,,,17,0,,,-4.9,ON,,4,NA,6,2022,6104142.2022.5.6.19,,26,2022,,,14.2,ND,19,100.11,KINGSTON CLIMATE,5,,,2022-05-07T00:00:00
-76.59944444444444,44.223333333333336,7,2022-05-06 20:00:00,6104142,5,,,,,,11,0,,,-3.1,ON,,5,NA,6,2022,6104142.2022.5.6.20,,35,2022,,,12.0,ND,20,100.15,KINGSTON CLIMATE,5,,,2022-05-07T01:00:00
-76.59944444444444,44.223333333333336,7,2022-05-06 21:00:00,6104142,5,,,,,,15,0,,,-4.4,ON,,3,NA,6,2022,6104142.2022.5.6.21,,32,2022,,,12.0,ND,21,100.21,KINGSTON CLIMATE,5,,,2022-05-07T02:00:00
-76.59944444444444,44.223333333333336,7,2022-05-06 22:00:00,6104142,5,,,,,,15,0,,,-5.4,ON,,2,NA,6,2022,6104142.2022.5.6.22,,31,2022,,,10.9,ND,22,100.24,KINGSTON CLIMATE,5,,,2022-05-07T03:00:00
-76.59944444444444,44.223333333333336,7,2022-05-06 23:00:00,6104142,5,,,,,,15,0,,,-5.1,ON,,4,NA,6,2022,6104142.2022.5.6.23,,33,2022,,,10.6,ND,23,100.27,KINGSTON CLIMATE,5,,,2022-05-07T04:00:00
-76.59944444444444,44.223333333333336,7,2022-05-07 00:00:00,6104142,5,,,,,,24,0,,,-6.4,ON,,3,NA,7,2022,6104142.2022.5.7.0,,30,2022,,,10.2,ND,0,100.3,KINGSTON CLIMATE,5,,,2022-05-07T05:00:00
-76.59944444444444,44.223333333333336,7,2022-05-07 01:00:00,6104142,5,,,,,,21,0,,,-5.1,ON,,4,NA,7,2022,6104142.2022.5.7.1,,37,2022,,,8.8,ND,1,100.27,KINGSTON CLIMATE,5,,,2022-05-07T06:00:00
