x,y,WINDCHILL,TEMP,WIND_DIRECTION_FLAG,HUMIDEX_FLAG,RELATIVE_HUMIDITY_FLAG,UTC_YEAR,LOCAL_MONTH,LOCAL_HOUR,WIND_SPEED_FLAG,HUMIDEX,DEW_POINT_TEMP,WIND_SPEED,STATION_PRESSURE,PROVINCE_CODE,PRECIP_AMOUNT_FLAG,WIND_DIRECTION,WINDCHILL_FLAG,LOCAL_YEAR,PRECIP_AMOUNT,TEMP_FLAG,VISIBILITY,UTC_MONTH,WEATHER_ENG_DESC,ID,UTC_DAY,CLIMATE_IDENTIFIER,LOCAL_DAY,DEW_POINT_TEMP_FLAG,STATION_PRESSURE_FLAG,LOCAL_DATE,STATION_NAME,UTC_DATE,VISIBILITY_FLAG,WEATHER_FRE_DESC,RELATIVE_HUMIDITY
-76.59944444444444,44.223333333333336,,20.9,,,,2023,6,18,,27,18.5,13,99.18,ON,,24,,2023,0,,,6,NA,6104142.2023.6.26.18,26,6104142,26,,,2023-06-26 18:00:00,KINGSTON CLIMATE,2023-06-26T23:00:00,,ND,86
-76.59944444444444,44.223333333333336,,20.0,,,,2023,6,19,,26,17.8,12,99.15,ON,,16,,2023,0.3,,,6,NA,6104142.2023.6.26.19,27,6104142,26,,,2023-06-26 19:00:00,KINGSTON CLIMATE,2023-06-27T00:00:00,,ND,87
-76.59944444444444,44.223333333333336,,19.7,,,,2023,6,20,,,18.5,23,99.15,ON,,17,,2023,0,,,6,NA,6104142.2023.6.26.20,27,6104142,26,,,2023-06-26 20:00:00,KINGSTON CLIMATE,2023-06-27T01:00:00,,ND,92
-76.59944444444444,44.223333333333336,,19.8,,,,2023,6,21,,,18.6,21,99.22,ON,,16,,2023,0,,,6,NA,6104142.2023.6.26.21,27,6104142,26,,,2023-06-26 21:00:00,KINGSTON CLIMATE,2023-06-27T02:00:00,,ND,93
-76.59944444444444,44.223333333333336,,19.9,,,,2023,6,22,,,17.9,19,99.26,ON,,17,,2023,0,,,6,NA,6104142.2023.6.26.22,27,6104142,26,,,2023-06-26 22:00:00,KINGSTON CLIMATE,2023-06-27T03:00:00,,ND,88
-76.59944444444444,44.223333333333336,,19.9,,,,2023,6,23,,,18.1,17,99.22,ON,,15,,2023,0,,,6,NA,6104142.2023.6.26.23,27,6104142,26,,,2023-06-26 23:00:00,KINGSTON CLIMATE,2023-06-27T04:00:00,,ND,89
-76.59944444444444,44.223333333333336,,19.9,,,,2023,6,0,,,18.0,6,99.22,ON,,18,,2023,0,,,6,NA,6104142.2023.6.27.0,27,6104142,27,,,2023-06-27 00:00:00,KINGSTON CLIMATE,2023-06-27T05:00:00,,ND,89
-76.59944444444444,44.223333333333336,,19.5,,,,2023,6,1,,,17.8,16,99.14,ON,,16,,2023,0,,,6,NA,6104142.2023.6.27.1,27,6104142,27,,,2023-06-27 01:00:00,KINGSTON CLIMATE,2023-06-27T06:00:00,,ND,90
-76.59944444444444,44.223333333333336,,19.4,,,,2023,6,2,,,17.6,16,99.14,ON,,16,,2023,0,,,6,NA,6104142.2023.6.27.2,27,6104142,27,,,2023-06-27 02:00:00,KINGSTON CLIMATE,2023-06-27T07:00:00,,ND,89
-76.59944444444444,44.223333333333336,,19.3,,,,2023,6,3,,,17.8,9,99.1,ON,,16,,2023,0,,,6,NA,6104142.2023.6.27.3,27,6104142,27,,,2023-06-27 03:00:00,KINGSTON CLIMATE,2023-06-27T08:00:00,,ND,91
-76.59944444444444,44.223333333333336,,19.0,,,,2023,6,4,,,17.8,7,99.07,ON,,15,,2023,0,,,6,NA,6104142.2023.6.27.4,27,6104142,27,,,2023-06-27 04:00:00,KINGSTON CLIMATE,2023-06-27T09:00:00,,ND,93
-76.59944444444444,44.223333333333336,,19.4,,,,2023,6,5,,,18.2,14,99.18,ON,,15,,2023,0,,,6,NA,6104142.2023.6.27.5,27,6104142,27,,,2023-06-27 05:00:00,KINGSTON CLIMATE,2023-06-27T10:00:00,,ND,93
-76.59944444444444,44.223333333333336,,19.7,,,,2023,6,6,,,18.1,15,99.16,ON,,15,,2023,0,,,6,NA,6104142.2023.6.27.6,27,6104142,27,,,2023-06-27 06:00:00,KINGSTON CLIMATE,2023-06-27T11:00:00,,ND,91
-76.59944444444444,44.223333333333336,,19.8,,,,2023,6,7,,,18.3,15,99.23,ON,,15,,2023,0,,,6,NA,6104142.2023.6.27.7,27,6104142,27,,,2023-06-27 07:00:00,KINGSTON CLIMATE,2023-06-27T12:00:00,,ND,91
-76.59944444444444,44.223333333333336,,19.9,,,,2023,6,8,,,18.3,16,99.23,ON,,16,,2023,0,,,6,NA,6104142.2023.6.27.8,27,6104142,27,,,2023-06-27 08:00:00,KINGSTON CLIMATE,2023-06-27T13:00:00,,ND,91
-76.59944444444444,44.223333333333336,,20.4,,,,2023,6,9,,26,18.1,17,99.2,ON,,16,,2023,0,,,6,NA,6104142.2023.6.27.9,27,6104142,27,,,2023-06-27 09:00:00,KINGSTON CLIMATE,2023-06-27T14:00:00,,ND,87
-76.59944444444444,44.223333333333336,,20.8,,,,2023,6,10,,27,18.9,13,99.24,ON,,15,,2023,0,,,6,NA,6104142.2023.6.27.10,27,6104142,27,,,2023-06-27 10:00:00,KINGSTON CLIMATE,2023-06-27T15:00:00,,ND,89
-76.59944444444444,44.223333333333336,,20.7,,,,2023,6,11,,27,18.8,12,99.26,ON,,17,,2023,0,,,6,NA,6104142.2023.6.27.11,27,6104142,27,,,2023-06-27 11:00:00,KINGSTON CLIMATE,2023-06-27T16:00:00,,ND,89
-76.59944444444444,44.223333333333336,,21.9,,,,2023,6,12,,29,19.1,14,99.21,ON,,16,,2023,0,,,6,NA,6104142.2023.6.27.12,27,6104142,27,,,2023-06-27 12:00:00,KINGSTON CLIMATE,2023-06-27T17:00:00,,ND,84
